idiom,syntax_markers,meaning_uz,meaning_number,homonym_number,variants,synonyms,antonyms,register_note,example_uz,source_author,source_work
TANINGIZNI BAG’ISHLADINGIZMI?,kim?kimga,? xotin bo’lishga rozimisiz? (nikoh o’qishdan oldin ayol kishiga beriladigan so’roq).,,,,,,,«Mulla Isoxon mulla Mamashoh o’g’liga taningizni bag’ishladingizmi?» – deb so’radi Oysanamdan.,N.Maqsudiy,Ikki hayotdan ikki lavha
"TANLAB-TANLAB, TOZGA UCHRAMOQ",kim?,"yaxshisini qidirib, yomoniga yo’liqmoq.",,,"tanlab-tanlab, toziga uchramoq; tanlab-tanlab, tozisiga uchramoq",,,,"Endi peshanamizdagi bitta-yu bitta qizimizning, tanlab-tanlab, toziga uchragandek bir oyoq yalang xizmatkor isqirtga tegishi qavm-qarindoshlarimiz ichida biz uchun nomus emasmi? Tumorcha qilib buklangan xatda: «Tanlab-tanlab, tozisiga uchrabdi» degan so’zlarni eshitib, hayron bo’ldi. «Bilsam, siz besh ketvorgan yigit mototsiklda qahramonlarcha silanib yurgani bilan, o’zi mendaqa bir traktorchi ekan-u. Didingizga qullug’-e!» – degan so’zlar bor edi.",A.Muhiddin,Zeboning sevgisi
TANOB(I)NI TORTMOQ,kim,"o’lchamini qisqartirmoq, kamaytirmoq.",1,,tanobi tortildi; tanob(i)ni kesmoq; tanob(i)ni torttirmoq; tanob(i) tortildi,,,,"Oldinda kattakon ko’k serka, uning ketidan uloqning onasi chivich echki butun qo’rani ergashtirib kelayotganini his etdi… Orqaroqda dadasi. U qo’lidagi tayog’ini siltab tashlab, go’yo yerning tanobini tortar edi. Shohmashrab yo’lga chiqsalar, xudoning qudrati bilan yerning tanobi tortilib, yo’l qisqarar ekan.",S.Anorboyev,Oqsoy
TANOB(I)NI TORTMOQ,kim,"o’z xohish-irodasiga itoat ettirmoq, tizginlamoq.",2,,tanobi tortildi; tanob(i)ni kesmoq; tanob(i)ni torttirmoq; tanob(i) tortildi,,,,"Shu, nazarimda, Burgutning yuragi tanasiga sig’mayotganga o’xshaydi qo’lni siqsam, tanobini tortsam deydi.",S.Ahmad,Cho’l burguti
TANOB(I)NI TORTMOQ,kim,"faoliyat doirasini, imkoniyatini cheklab qo’ymoq.",3,,tanobi tortildi; tanob(i)ni kesmoq; tanob(i)ni torttirmoq; tanob(i) tortildi,,,,"...hukumatga chap berib, kuchsiz xo’jaliklarning badanida zulukday yopishib olgan mana shunaqa odamlarning tanobini tortish kerak Tomorqa masalasini ham tekshirib yuribman. Bu xususda ba’zi akamlarning tanobini kesib qo’yishga to’g’ri keladi. Undan so’ng bozor-o’charning ketiga tushardi. Yaxshi bo’ldi, biroz tanobi tortilibdi.",A.Qahhor,Qo’shchinor chiroqlari
TAP TORTMASLIK,kim? [kimdan?] yoki nimadan?,"qo’rqmay botinmoq, hayiqmaslik.",,,,,,,"Kechalari ham dalaga chiqishdan tap tortishmaydi. «Urmang. Nimaga urasiz? Kitob o’qisa, gunohmi?», – dedi Dilshod tap tortmay. Bunday ishlarni u Roziq qo’rboshiga o’xshagan hech narsadan tap tortmaydigan johil odamlar orqali bitiradi. Nimadan tap tortaman?!. Olsa, stolini oladi-da. Artelimga borib, yana ... qilaveraman. Muovinlik o’zimga ham o’tirishmayotibdi.",A.Qahhor,Og’riq tishlar
TAQDIR KULIB,,[taqdir kül=] tar.,,,,,,,"Javob kutti bo’lub u ish aro mast, Vale taqdir kulib tez bermadi dast.",S.Saroyi,Suhayl va Guldursun
TAQDIRGA TAN BERMOQ,,"o’z qismatiga, ko’rgiliklariga xudoning irodasi, xohishi deb rozi bo’lmoq.",1,,,,,,"To’xta xola o’zini bosib, ko’z yoshlarini yutib, taqdirga tan berib tura qoldi.",I.Rahim,Chin muhabbat
TAQDIRGA TAN BERMOQ,,umuman ko’nikmoq; chidamoq.,2,,,,,,"Hasratdan, yig’idan zerikkan fuqaro taqdirga tan bergisi kelmaydi.",,
TARAF YO’Q,kimga? nimada?,"teng kela oluvchi, bas kela oluvchi topilmaydi.",,,,,,,"Ammo lekin hunarda o’risga taraf yo’qligini bilaman. «Gapdan gap chiqarishda senga taraf yo’q-a, xotin», – dedi Qodir ota.",A.Muhiddin,Кo’ngillar
