idiom,syntax_markers,meaning_uz,meaning_number,homonym_number,variants,synonyms,antonyms,register_note,example_uz,source_author,source_work
KO’NGL(I) ZIMZIYO,kimning?,o’ta darajada g’amgin.,,,,,,,"Yovariqda suv shovullaydi, uzoqlarda ashula yangraydi. Ammo Anorxonning ko’ngli imziyo. Hamma narsa o’z joyida, butun borliq olam jo’sh uryapti-yu, ammo uning eng qiymatli kishisi – aziz katta onasi abadiy ko’z yumdi.",I.Rahim,Ixlos
KO’NGL(I) O’KSIDI,kimning?,"ma’yuslanmoq, o’ksinmoq.",,,,,,,Qizning atrofga javdirab turgan ko’zlari xomush yerga boqdi. Qiz ko’ngli o’ksidi O’z tengqurlari o’rtasida ko’ngli o’ksimasin deb kiyim-boshini shay qilib qo’ydi.,S.Anorboyev,Tashvish
KO’NGL(I) G’ASH,kimning?,"tashvishli, bezovta, notinch.",,,KO’NGL(I)NI O’STIRMOQ; KO’NGL(I) O’SDI,,,,"Ko’nglim g’ash, boyagi quvonchli, shirin, ammo tagi yo’q xayollardan asar ham qolmagan edi. Ko’ngilning bir chekkasi g’ash, shaharga ham chiqqim kelmaydi. Ammo Komilaning shak-shubhasi, ko’ngil g’ashligi uzoq davom etmadi. Oydin kechada bu xunuk ovoz Stepanning g’ash ko’nglini tirnab o’tganday bo’ldi. Uning kayfi buzuq, yuragi g’ash edi. Nazirali kampirning yurak g’ashini tarqatish uchun hamma narsaga tayyor.",S.Nazar,Yashil boylik
KO’NGL(I) G’ASH TORTDI,kimning?,biroz tashvish qilmoq.,,,,,,,"Tog’dagi mashmashalar ko’z oldidan bir-bir o’tib, ko’ngli g’ash tortib ketdi. U «Baxtli bo’lsin» o’rniga «Peshanasi sho’r bo’lmasin» deganiga hayron qoldi, yuragi g’ash tortdi",S.Anorboyev,Kuyov
KO’NGL(I) G’ASHGA TO’LDI,kimning?,qattiq tashvishda bo’lmoq.,,,,,,,"Tirikchilik bu yerda ham hamma yerdagiday ekanini darrov fahmladilar, ularning ko’ngillari yana g’ashga to’ldi.",P.Tursun,O’qituvchi
KO’NGL(I) G’ASHLANDI,kimning? nimadan?,tashvish qildirmoq.,,,yurag(i) g’ashlandi; ko’ngl(i) g’ash bo’ldi; ko’ngl(i)ni g’ash; qilmoq; ko’ngl(i) xira bo’ldi; ko’ngl(i)ni xira qilmoq; tashvish; tortmoq 1; ko’ngl(i) yorishdi; ko’ngl(i)ni yoritmoq; ich(i)ga chiroq yoqilganday bo’ldi,,,,"– nima? kim? kimning? kimning? nimadan? – nima? kim? kimning? kim? nima haqda? kimning? nima? kimning? kimning? Jon akajon, ketarmishsiz bizni tashlab, Notinch yurtda ko’nglimizni battar g’ashlab. Keta turib xayoliga allaqanday shubhalar kelib, ko’ngli g’ashlandi-yu... Lekin akasidan buni yashirgani yuragi g’ashlanib, «To’g’risini aytsam bo’lar ekan..», – dedi.",N.Nazarov,Zamon
KO’NGL(I)NI CHO’KTIRMOQ,kim? (o’zining) yoki kimning?,"ruhsizlanmoq – a) ruhsizlanmoq (tuslovchi va egalik qo’shimchasi boshqa-boshqa shaxsni ko’rsatadi, b) ruhsizlantirmoq (boshqa hollarda).",,,KO’NGL(I) CHO’KDI; ko’ngilni cho’ktirmoq; ko’ngl(i)ni ko’tarmoq; – ko’ngl(i) ko’tarildi; ko’ngl(i); o’sdi; – ko’ngl(i)ni o’stirmoq,,,,"bilan? kimning? nimadan? kimning? nimadan? nima? kimning? Onasi u yoq-bu yoqqa tashlab ketganda, hamisha shunday ko’ngli cho’kib, xafa bo’lib qolardi. Ko’nglingizni cho’ktirmang, domlajon, hali qirchillama yigitsiz. Lekin qiz bolaning ko’nglini cho’ktirmaslik ham lozim. Qo’l baland kelganda suyunib, xotirjamlikka berilmaslik, past kelganda esa ko’ngilni cho’ktirmaslik kerak.",M.Ismoiliy,Farg’ona tong otguncha
KO’NGL(I) CHOPMADI,kimning? kimga? nimaga? nima qilishga?,"ichki his-tuyg’u ta’sirida jazm qilmaslik, amalga oshirishni istamaslik.",,,,,,,"U qishloqning boshqa hamma qizlarini birma-bir ko’z o’ngidan o’tkazdi. Biridan biri yaxshi. Lekin negadir hech qaysisiga ko’ngli chopmaydi. Ope ratsiyaga doktorlarning ko’ngli chopmagani, xastaning holi o’zimga ma’lum bo’lgani, Masturaning o’limning yuziga bunchalik tik qaragani qorong’ida qo’rqqan kishi ashula aytgandek emasmikin, degan gap ko’nglimdan o’tgani uchun operatsiyaning natijasini kutmadim. Rahmonqulovga aytishga nima uchun ko’nglingiz chopmadi, Bakir?",A.Muxtor,Tug’ilish
KO’NGL(I)DA KIRI YO’Q,,"kek saqlamaydigan, g’arazi yo’q, begidir.",,,yuragida kiri yo’q,,,,"Bizning odamlarimizdan. Juda dilkash, ko’nglida kiri yo’q juvon. O’zi chevar. Sizning bir yomon odatingiz bor: odamga qo’shilmaysiz. Hatto Sharifday bir xushfe’l, ko’nglida kiri yo’q yigitdan ham o’zingizni olib qochasiz. Jamol xola ko’ngli ochiq, yuragida kiri yo’q xotinlardan.",A.Qahhor,Sarob
KO’NGL(I)DAN KO’TARILMOQ,nima? kimning?,"o’y-xayolidan ketmoq, yo’q bo’lmoq.",,,,,,,"Jumanning ta’bi ochilib, kunduzgi xafagarchiliklar ham ko’nglidan ko’tarilib ketgan edi.",A.Muxtor,Tug’ilish
KO’NGL(I)DAN O’TKAZMOQ,kim? [o’zining] nimani?,ma’lum bir muddat fikrlamoq.,,,KO’NGL(I)DAN O’TMOQ; dil(i)dan o’tmoq – dil(i); dan o’tkazmoq; dil(i)dan kechmoq; ko’ngl(i)dan kechmoq –; ko’ngl(i)dan kechirmoq; ko’ngildan kechirmoq; ko’ngildan o’tkazmoq,"bosh(i)dan kechmoq; bosh(i)dan; kechirmoq 2; xayol(i)dan o’tmoq; xayol(i)dan o’tkazmoq; fikr(i)dan o’tkazmoq; ko’ngl(i)ga chiroq yoqsa, yorish",,,"(eskirgan); (eskirgan); nimani? (eskirgan); nimani? nima? kimning? – kim? [o’zining] nimani? nima? kimning? – kim? [o’zining] nimani? kim? [o’zining] nimani? «Kelib qolsa edi» degan fikr ko’nglidan o’tardi. Anorxon uni zimdan kuzatar, «El bo’lmaydiganroq xotin ekan», – deb ko’nglidan o’tkazar edi «Yaxshiyam o’zini tashlab yubormadi» degan fikr dilidan o’tdi «Bir-birisini sevgani yaqqol ko’rinib turibdi-ku», – deb dilidan o’tkazadi. Shu chog’ uning dilidan «Eh, Kolyaga ham xabar berish kerak edi-da» degan fikr kechdi. Lutfi xola uning uyg’oqligini bilib turar, lekin ko’nglidan kechayotgan gapla",S.Zunnunova,Qon-qarindoshlar
KO’NGL(I)DAN CHIQARMOQ,kim? nimani? yoki kimni?,"butkul unutib yubormoq, o’ylamay, eslamay qo’ymoq.",1,,ko’ngildan chiqarmoq; yurag(i)dan chiqarmoq; ko’ngl(i)dan chiqmoq; yurag(i)dan chiqmoq,,,,"Zuhurjon allaqanday xayollarga olib borgan bu dili xiralikni butunlay ko’nglidan chiqarib yubormagan ham ediki, yoniga ikkinchisi qo’shildi. [O’g’irlangan xurjunlarini] «Devonai Bahovaddin yo’lida sadaqa», – deb ko’ngildan chiqarishibdi O’lim tushagida yotib, rozi-rizolik tilaganida ham Saidg’ozi onasining bu gapini yuragidan chiqarib tashlay olmagan. Sobirjoningni o’z ukamday bilardim. Sakkiz yil emas, sakson yil o’tsa ham, ko’nglimdan chiqmasligiga ishonaman. . Chigitni besh kun kech ekkanining alami sira yuragidan chiqmasdi.",R.Fayziy,Cho’lga bahor keldi
KO’NGL(I)DAN CHIQARMOQ,kim? nimani? yoki kimni?,ko’nglidagi g’uborni tarqatmoq.,2,,ko’ngildan chiqarmoq; yurag(i)dan chiqarmoq; ko’ngl(i)dan chiqmoq; yurag(i)dan chiqmoq,,,,"Bola bechoraning dilini og’ritgan edim... O’lmasam, bir yaxshi ish qilib, ko’nglidan chiqarib yuboraman. Endi nima qilib xotinining ko’nglidan bu shubhalarni chiqarib yuborish yo’lini izlab uyqusi kelmadi.",H.Nazir,Rashk
KO’NGL(I)DAN CHIQARMOQ,kim? nimani? yoki kimni?,o’z roziligi bilan berishni ma’qul ko’rmoq.,3,,ko’ngildan chiqarmoq; yurag(i)dan chiqarmoq; ko’ngl(i)dan chiqmoq; yurag(i)dan chiqmoq,,,,"pul, kim poyafzal, kim yaktak, kim belbog’, ishqilib, har kim ko’nglidan chiqarganini keltirar edi.",M.Ismoiliy,Farg’ona tong otguncha
KO’NGL(I)GA KELMOQ,nima?,yoki,1,,ko’ngilga kelmoq; ko’ngl(i)ga keltirmoq; ko’ngilga keltirmoq,o’yga bormoq 1; xush(i)ga kelmoq,,,"«Mahkam aka, – dedi Gavhar,– ko’nglingizga kelgan hamma narsani ayting, o’tgan yildagiday ichingizga yutib yurmang». Karim ota hozir ba’zi birovlarning ko’ngliga kelgan gapdan ham xunukroq bir taxminni aytib qoldi. «Ko’nglimga keldi-yu, sizning oldingizdan o’tay devdim». – «E, ko’ngilga kelgan narsani darrov qilish kerak». «Zo’rlikni ko’ngilga keltirmang. Jul haqini qo’yavering. Nikoh to’yining sarpolari tayyor», – dedi.",Sh.Toshmatov,Erk qushi
KO’NGL(I)GA KELMOQ,nima?,biror munosabat bilan aytilgan gapni yoki qilingan harakatni og’rinib qabul qilmoq.,2,,ko’ngilga kelmoq; ko’ngl(i)ga keltirmoq; ko’ngilga keltirmoq,o’yga bormoq 1; xush(i)ga kelmoq,,,"Ammo rostimni aytsam, boya Sanobarning ko’ngliga keladi deb gapirmagan edim. Ko’nglingizga kelmasin, men Bo’taboyni yoqlamoqchi emasman...",A.Qahhor,Qo’shchinor chiroqlari
KO’NGL(I)GA KELMOQ,nima?,xohlamoq.,3,,ko’ngilga kelmoq; ko’ngl(i)ga keltirmoq; ko’ngilga keltirmoq,o’yga bormoq 1; xush(i)ga kelmoq,,,"Birorta olg’irning qo’liga tushmasin-da. Undaylar To’xtasinning qalbi bilan nima ishi bor! Qo’yday yuvosh ekan deb, ko’ngliga kelgan ko’yga yo’rg’alata berishi mumkin. Bular uni ko’ngliga nima kelsa, shu bilan yupatardilar.",N.Maqsudiy,Ilon bolasining zahri
"KO’NGL(I)GA NIMA KELSA, SHUNI QILMOQ",kim? [o’zining],"boshqalarning xohishi bilan hisoblashmay, o’z istagi asosida ish tutmoq.",,,,,,,"Keyin Gulnorga xudo berdi, u erka-arzanda xotin bo’lib, eriga suyanib, ko’ngliga nima kelsa, shuni qiladi, bizni har narsadan chetga qoqadi, balki boshimizda yong’oq chaqadi.",,
KO’NGLIGA OTASH TASHLAMOQ,,[köŋligä ataš tašla=] tar.,,,,,,,"G’azoldek silkinib qochti parivash, Suhayl ko’ngliga tashlab katta otash.",S.Saroyi,Suhayl va Guldursun
KO’NGL(I)GA O’TIRMOQ,kim? kimning?,"ma’qul kelmoq, moyillik hissini uyg’otmoq.",,,,,,,"O’zini Kovalev deb tanishtirgan, doim yoqimli kulimsirab turadigan, baquvvat gavdali bu odam birinchi gapidanoq injenerning ko’ngliga o’tirdi.",,
KO’NGL(I)GA OG’IR OLMOQ,kim? [o’zining] nimani?,"(«gap»ni) adolatsiz deb bilib xafa bo’lmoq, qattiq o’ksinmoq.",,,ko’ngl(i); ga qat­tiq olmoq; ko’ngl(i)ga olmoq,,,,"Tojiddin uning xalaqit berayotganini bilsa-da, ko’ngliga og’ir olar deb, tashib bo’lgunicha indamadi. Bolalar shunaqa sho’xroq bo’lib qolishgan. Ko’nglingga qattiq olma... Men bo’lsam bir bema’ni xotinning gapini ko’nglimga olib o’tiribman. Kishi har narsani ko’ngliga olaveradimi? Torga tor dunyo, kengga keng dunyo.",P.Qodirov,Uch ildiz
KO’NGL(I)GA QARAMOQ,kim? kimning?,ba’zan,,,,,,,"Mana shunaqa-da. Bolaning ko’ngliga qarayversangiz, haddidan oshib ketadi. Ketgim keldi. Lekin Gulbahorning ko’ngliga qarab ancha o’tirib keldim. Mening ikkita tanishim bor, bir-biriga nihoyatda mehribon, bir-biriga sodiq, bir-biriga ishonadi, bir-birining ko’ngliga qaraydi. Endi qayoqqa ham boraman? O’tgan yil ko’nglimga qarasam bo’lar edi. Endi vaqt o’tgan. Taqdirim shu ekan-da.",A.Qahhor,Qo’shchinor chiroqlari
KO’NGL(I)GA QO’L SOLMOQ,kim? kimning?,eng yashirin fikr-o’yini bilishga harakat qilmoq.,,,yurag(i)ga qo’l solmoq,,,,"ko’ngliga qo’l solib ko’rsangiz, yaxshi niyat topasiz. Kechagi ishdan maqsadim u yerdagi xotinlarning ko’ngliga qo’l solib ko’rish, undan keyin o’zimga ba’zi bir ishonchliroqlarini tanlab olish edi. Tezroq uy-uylariga tarqala qolishsa, nima qilar ekan bu takasaltanglar! Saidg’ozi Nazarovning yuragiga qo’l solib ko’rar edi. Rizaning yuragiga qo’l solib ko’rgan Muhiddin uning javobidan xursand bo’ldi.",R.Fayziy,Cho’lga bahor keldi
KO’NGL(I)GA SIG’MASLIK,nima? kimning?,"diqqatlik, xafalik tufayli mashg’ul bo’lolmaslik, istamaslik.",,,,,,,"«Pardoz-andoz ko’nglimga sig’maydi. Uyimni o’g’ri urganda o’sma qo’yib o’tirarmidim?!», – deb yurgan Mehrixonning yurish-turishi bugun boshqacha. Bu odamning lip etib kirib kelaverishi keyingi vaqtda Qudratillaxo’janing yuragiga sig’may qolgan edi He, shu topda ko’ngliga ashula sig’armidi?! Shunday mas’uliyatli vaqtda uning yuragiga sig’adimi?! Mehri opa bolaning biron kimi bor-yo’qligini so’rolmadi. Bu yurakka sig’armidi?!",R.Fayziy,Ona
KO’NGL(I)GA SOLMOQ,kim? kimning? nimani?,"o’y-xayolida paydo qilmoq, miyasiga joylamoq.",,,,,,,"Qaydanam yo’liqa qoldi G’ozi. Shu gapni uning ko’ngliga solmaganda, bu noxushlik yo’q edi. Tomga chiqmaylik deb bir narsani bilib aytgan ekansan. Laylatulqadrning o’zi bu gapni sening dilingga solgan ekan-da, esiz-esiz... U mana shu yashil dalalarda yigitlik umrining eng lazzatli onlarida muhabbat olovini dilga soldi.",S.Ahmad,Qadrdon dalalar
KO’NGL(I)GA TEGMOQ,kimning?,"(«ovqat») yoqmay qolmoq, organizmi qabul qilmay qo’ymoq.",1,,ko’ngilga tegmoq,me’da(si)ga tegmoq,,,,,
KO’NGL(I)GA TEGMOQ,kimning?,ba’zan,1,,ko’ngilga tegmoq,me’da(si)ga tegmoq,,,Mastava ko’ngillaringizga tegib yurgandir.,H.Nazir,Ko’korol chiroqlari
KO’NGL(I)GA TEGMOQ,kimning?,(«ovqat»dan boshqa) yoqtirmaslik hissi uyg’ondi.,2,,ko’ngilga tegmoq,me’da(si)ga tegmoq,,,"Ammo har kuni bir xil narsani takrorlayverish uning ko’ngliga tegdi. Haligi jononni ko’rdingmi?.. Bugun bazm... Ko’ngilga tegdimi, yana o’z joyiga eltib qo’yamiz.",I.Rahim,Chin muhabbat
KO’NGL(I)GA TUGMOQ,kim? [o’zining] nimani?,(«gap»ni) o’rni kelganda aytishni mo’ljallab qo’ymoq.,1,,ko’ngl(i)da tugib yurmoq; yurag(i)ga tugmoq; yura­g(i)da tugib yurmoq; dil(i)ga tugmoq,,,,"«Uning nimasi akademik? Bizning Baraka boboga o’xshagan chol-da!» Erkin ko’ngliga tugib qo’ygan gapni beixtiyor gapirib yubordi. Erining bu gapi Oysha xolaga dastak bo’ldi, shekilli, kecha aytolmay, yuragida tugib yurgan gaplarini tortinmay ayta boshladi. Roziya xola xuddi shu gapni kutib turganday, diliga tugib yurgan gaplarini birvarakay to’kib soldi.",N.Nazarov,Zamon
KO’NGL(I)GA TUGMOQ,kim? [o’zining] nimani?,ahd qilmoq.,2,,ko’ngl(i)da tugib yurmoq; yurag(i)ga tugmoq; yura­g(i)da tugib yurmoq; dil(i)ga tugmoq,,,,"ko’ngilga tukkan niyatim katta. Kasbidan qat’i nazar, insonga sidqidil xizmat qilishni diliga tukkan har kimga ham tegishli, Nigora.",S.Anorboyev,Oqsoy
KO’NGL(I)GA TUGMOQ,kim? [o’zining] nimani?,fikran belgilab qo’ymoq.,3,,ko’ngl(i)da tugib yurmoq; yurag(i)ga tugmoq; yura­g(i)da tugib yurmoq; dil(i)ga tugmoq,,,,"Ichkariga kirib, Begoyimga nimalar deyishini, nimalarni ko’rsatishini ko’ngliga tugib qo’ygan «E-e, gap bu yoqda ekan», – deb ko’ngliga tugib qo’ygan edi",S.Anorboyev,Do’stlar
KO’NGL(I)GA TUGMOQ,kim? [o’zining] nimani?,unutmay ichda saqlamoq.,4,,ko’ngl(i)da tugib yurmoq; yurag(i)ga tugmoq; yura­g(i)da tugib yurmoq; dil(i)ga tugmoq,,,,"O’zing tushmagur ham har narsani ko’nglingga tuga berasan. To’g’ri, kambag’alning boshi g’amdan chiqmaydi. Hayiti ham aza, jumasi ham aza..., ko’ngilga tugaversang, jinni bo’lib qolasan. Dunyo shunday yasalgan ekan, bolam. Birovga yorug’, birovga qorong’i. Ammo har narsani o’ylab, dilga tugma, xafaqon bo’lib qolasan.",H.Nazir,Rashk
KO’NGL(I)GA URMOQ,nima? kimning?,"qiziqishi yo’qoldi, zeriktirmoq.",,,ko’ngilga urmoq,,,,"Bu «tomosha» darrov ko’nglimga urdi. Shundan keyin qo’limdagi kitobimni o’qishga tushdim. Bular hammasi ham ko’ngilga urdi, shekilli, gulzorlar bo’ylab bog’ni aylana boshladi.",S.Abduqahhor,Nusxaoy
KO’NGL(I)GA VAHIMA TUSH,,kuchli darajada qo’rqish hissi uyg’ondi.,,,,,,,"Ha deganda kela bermagach, ko’ngliga vahima tushdi. Yig’lay boshladi.",P.Tursun,O’qituvchi
KO’NGL(I)GA YAQIN OLMOQ,kim? [o’zining] kimni?,"o’z fikrini, dardini ishonib gapirish mumkin kishi deb qaramoq.",,,ko’ngl(i)ga; yaqin bilmoq; ko’ngl(i)ga zig’ir yog’day ur,,,,"Azbaroyi ko’ngliga yaqin olganidan Xotin birinchi marta oydin kechada xuddi shu tosh ustida o’tirib, ko’ngliga yaqin bilgan yigitning dard bilan entikib-entikib aytgan qaynoq yurak so’zlarini tinglagan edi.",S.Ahmad,Xotiralar
KO’NGL(I)GA G’ASHLIK SOLMOQ,nima? yoki kim? kimning?,"tashvish qilishiga sabab bo’lmoq, tashvishli holatga qo’ymoq.",,,,tashvishga solmoq,,,"Bu odam nima uchundir o’zini g’alati his qila boshladi, yuragi tatalab, allanarsa ko’ngliga g’ashlik solayotganga o’xshadi. Agar biz: «O’ktam o’zi ... bo’lmoqchi, shunga tayyorgarlik ko’ryapti», – desak, uning ko’ngliga g’ashlik solgan bo’lamiz.",R.Fayziy,Cho’lga bahor keldi
KO’NGL(I)GA G’ASHLIK TUSH,,o’z-o’zicha tashvish qilmoq.,,,ko’ngl(i)ga tushgan; g’ashlik,tashvishga; tush­moq,,,"Tesha bilan orasi buzilgandan keyin Saidiy qachon fakultetni o’ylasa, ko’ngliga g’ashlik tushadigan bo’ldi Bu g’ashlik to’ydan keyingi kuni ertalab ko’ngliga tushgan g’ashlikka shu qadar o’xshar ediki, Saodat o’sha tongni darrov esladi.",A.Muxtor,Qanot juft bo’ladi
KO’NGLIMA KELMOQ,,[köŋlimä kel=] tar.,,,,,,,"Kelib ko’nglima Majnun, Layli yodi, Dafotir ustina so’z seli yog’di. Gelib Guldursun ko’nglina bu so’zlar, Kejib kunlarki, bunga chora izlar.",S.Saroyi,Suhayl va Guldursun
KO’NGL(I)NI BO’LMASLIK,kim? [o’zining],har xil o’y-xayollarga borib o’zini o’zi xafa qilmaslik. .,,,,,,,"..lekin faqat ko’nglingizni bo’lmang, keyingi vaqtlarda Saidov bilan oramiz butunlay buzildi. Urgan bilan odam o’lib qolmaydi, qaytaga gul unadi. Ko’nglingni bo’lmay o’qiy ber, jon bolam.",M.Ismoiliy,Farg’ona tong otguncha
KO’NGL(I) BUZILDI,kimning?,mungraymoq yoki mungraytirmoq – mungraymoq.,,,KO’NGL(I)NI BUZMOQ,,,,"«Bu falokatzadalarning, – dedi unga qarshi boshqa bir sayis, – ko’ngillarini buzma, ulardan kulma». Go’yo bu ko’zlar unga «Sira ko’nglingizni buzmang, Farog’atxon, tun-u kun xayolim sizda» deyayotgandek bo’ldi. Muhiddin haqida gap boshlanganda, Salomat opaning ko’ngli buzildi, chehrasidan nur qochdi.",A.Muxtor,Hayotga chaqiriq
KO’NGL(I) KO’TARILDI,kimning? nimadan?,ruhlanmoq.,,,KO’NGL(I)NI KO’TARMOQ,ko’ngl(i) o’sdi; ko’ngl(i)ni o’stirmoq,ko’ngl(i) cho’kdi; ko’ngl(i)ni cho’ktirmoq,,"– nima? kimning? kimning?– kim? [o’zining] kimning? Chollar, kampirlar ahvolini surishtirdi, iliq so’zi, moddiy yordami bilan ularning ko’nglini ko’tardi Professor ham shunday deydi, balki ko’nglimni ko’tarish uchun aytgandir. Qilgan ishi odamlarning e’tiboriga sazovor bo’lib chiqqani esa ko’nglini ko’tardi Orzuli dunyo, juftingni topib, mani ham uyimni obod qilsang, ko’nglim ko’tarilardi deyman, bolam. Har yoqdan «Hormanglar, shovvozlar, balli, balli!» degan ko’ngil ko’taruvchi so’zlar eshitilmoqda edi. Bu yaqin yillar ichida hech kimdan bunaqangi yumshoq muomala, ko’ngil ko",H.Nazir,Ko’korol chiroqlari
KO’NGL(I)NI O’RTAMOQ,kim? kimning?,nohaq ravishda iztirob chektirmoq.,,,,,,,"Sanamay sakkiz deb ko’nglimni o’rtamang, hammasi yolg’on, – deb Sobirjonga xat yozib yubordi.",A.Muhiddin,Ko’ngillar
KO’NGL(I) OCHILDI,kimning?,"xafachiligini tarqatib, xursand qilmoq",,,KO’NGL(I)NI OCHMOQ,,,,"Muzdek suv, g’amxo’r qizchasining mehribon tovushi va bu lazzatli taom hidi onaning ko’nglini ochdi. «Kovlashtirib, dardini yangilashning nima keragi bor», – deb o’ylab, uning ko’nglini ochishga harakat qildi. nima? bilan bo’lsa ham o’zini ovutmoqchi bo’ldi. Bari bir ko’ngli ochilmadi.",S.Anorboyev,Oqsoy
KO’NGL(I)NI OG’RITMOQ,kim? kimning?,ranjimoq.,,,di­l(i); og’ridi – dil(i)ni og’ritmoq,,,,"O’rtoqlariga sovuq rasmiyatchi bo’lib ko’ringanidan ko’ngli og’rib o’tirganda Sulaymon Ziynatullayev kirib keldi. Har qalay, birovning ko’nglini og’ritmay ishlab turgan edim. Tag’in biror nima deb o’tirma. Dili og’rimasin. S. Bola bechoraning dilini og’ritgan edim. Hali ham pushaymonman.",S.Ahmad,Qadrdon dalalar
KO’NGLUN MALUL QILMOQ,,[köŋlin malul qïl=] tar.,,,,,,,Malul qilma yasar orif er kishi ko’nglun.,S.Saroyi,Gulistoni bit-turkiy
KO’NGLIN OLDURMOQ,,[köŋül aldur=] tar.,,,,,,,"Ko’nglin anga oldirib, ko’b turli malomatlarga rozi bo’lub aytur edi.",S.Saroyi,Gulistoni bit-turkiy
KO’NGLUN OG’RITMOQ,,[köŋlin aγrït=] tar.,,,ko’ngullarin og’ritur,,,,"Aziz umrung xarj etib, totli jon bekin do’st hosil etting, Dag’i bir sahl so’z bilan aning ko’nglun og’ritting. Har kun kelib, taqozo qilib qatti so’zlab, ko’ngullarin og’ritur edi.",S.Saroyi,Gulistoni bit-turkiy
KO’NGL(I)NI OLMOQ,kim? kimning?,xursand qilish bilan o’ziga xayrixoh qilmoq.,,,,,,,"Pul bilan, bir parcha latta bilan ko’nglini olmoqchi, ko’rgan kunlarimni unuttirmoqchi bo’lding. «Birga topdik, birga!»– Qo’ziboy ikki yoqning ham ko’nglini olmoqchi bo’ldi. Bilaman, Nigorim, kishining ko’nglini olish jahonda qiyin, ammo og’ritish oppa-oson.",S.Anorboyev,Oqsoy
KO’NGL(I)NI OVLAMOQ,kim? kimning?,o’ziga moyil qilish uchun intilmoq.,,,ko’ngil ovlamoq,,,,"Ko’zingni suzib, ovloqda Po’latjonning ko’nglini ovlab yurgan emishsan. Boshini o’girib, ko’ngil ovlar bir tovush bilan so’radi: «O’ktam aka, nega indamaysiz! Tomosha qilyapsizmi?»",S.Ahmad,Qadrdon dalalar
KO’NGLIN OZOR QILMOQ,,[köŋlin azar qïl=] tar.,,,,,,,"Eshak ul odamiydan yaxshiroqkim, Qilur doim kishining ko’nglin ozor.",S.Saroyi,Gulistoni bit-turkiy
KO’NGLIN SAYD ETMOQ,,[köŋlin sajd et=] tar.,,,,,,,"To’rtinchisi, xushovoz kerakkim, dovudiy nag’ma bilan uchar qushni, oqar suvni tiyg’ay dag’i ul bu fazilat bilan xaloyiq ko’nglin sayd eta bilgay.",S.Saroyi,Gulistoni bit-turkiy
KO’NGL(I)NI SO’RAMOQ,kim? kimning?,"boshiga xafachilik, musibat tushgan kishiga hamdardlik bildirib hol-ahvolini so’ramoq.",,,ko’ngil so’ramoq,,,,«Hoshimjon akamning ko’ngillarini so’rab ko’rish kerak edi». – «Nima deb so’raysan ko’ngillarini?» Mana shu ko’ngil so’rab kelib turganlaringning o’zi menga har qancha dori-darmondan a’lo. O’sha kuni ko’ngil so’rashga ham yaramadim.,P.Qodirov,Uch ildiz
KO’NGLIN TOPMOQ,,[köŋlin tap=] tar.,,,KO’NGL(I)NI TOG’DAY KO’TARMOQ,,,,Kerakli do’st ko’nglin topmoq uchun Otasi bog’ini sotsa ravodur.,S.Saroyi,Gulistoni bit-turkiy
KO’NGL(I)NI TOPMOQ,kim? kimning?,istak-xohishiga mos tushadigan harakatlar qilish bilan o’ziga moyil qilmoq.,,,ko’ngl(i) topilsa,,,,"Menga sening ko’nglingni topishdan katta baxt yo’q! ...ko’ngli topilsa, hamma ishni bitirish mumkinligiga ko’zi yetdi.",A.Muxtor,Qanot juft bo’ladi
KO’NGL(I)NI UZMOQ,kim? [o’zining] nimadan? yoki kimdan?,"yuragiga yaqin, intilgan kishisidan yoki narsasidan ajralishga qaror qilmoq.",,,ko’ngilni uzmoq; ko’ngil uzmoq,,,,"U mahalda Usmonjondan o’zini juda yiroqda his qilgan va unga yetishishdan ko’nglini uzib ham qo’ygan edi. Axir u shu vaqtgacha Nasibani dedi. Ko’nglini undan uzib, boshqaga berishni o’ylagan emas-ku! Haligacha sen Fotimadan ko’ngil uzmagan ekansan-da? Axir o’g’ilginamning peshana teri to’kilgan tuproqdan qanday ko’ngil uzayin.",H.Nazir,Odamning qadri
KO’NGLIN XUSH ETMOQ,,[köŋlin xoš et=],,,,,,,"...avvalgi muallimning ko’nglin xush etib, burung’i yerina kechurub tururlar.",S.Saroyi,Gulistoni bit-turkiy
KO’NGL(I)NI YAQIN TUTMOQ,kim? [o’zining] kimga?,mehr-oqibat bilan munosabatda bo’lmoq.,,,,,,,"iqsa tumandan orttirilgan o’rtoqlarim ichida men ham unga, u ham menga ko’nglimizni juda yaqin tutar edik Menga ko’nglini yaqin olib hujrasidan avaxta qilinganlar to’g’risida dodxohga iltimos qilishni so’rab kirgan edi.",S.Abdulla,Muqimiy
KO’NGLIN YIQMOQ,,[köŋlin jïq=] tar.,,,ko’ngul yiq­moq,,,,"Odamiy ko’nglin yiqar so’z so’zlama, Sulh eyasindan xusumat ko’zlama. Bu ne’mat shukrini qilsam kerak cho’q, Kishi ko’nglun yiqarg’a odatim yo’q. Karam qil kishiga va lekin boqib, Ko’ngul yiqqan erga karam bilmag’il.",S.Saroyi,Gulistoni bit-turkiy
